,Title,Published_date,Views,Likes,Comments,Month
59,Why You Probably Won't Become a Data Scientist,09-04-2021,130082,3811,482,Apr
60,How to Go From Data Analyst to Data Scientist,02-04-2021,50203,1433,175,Apr
61,Why I Have 2 Offices for Data Science & Content Creation,26-03-2021,3870,137,92,Mar
62,MARCH MADNESS - Will My Machine Learning Model Beat Your Bracket?,19-03-2021,16352,333,107,Mar
63,My Regrets as a Data Science Student,12-03-2021,23155,847,112,Mar
64,My Daily Battle With Time - Will I Win? [Vlog],08-03-2021,3783,193,83,Mar
65,What is the Future of my Comment Leaderboard Project?,26-02-2021,5496,201,81,Feb
66,How to Build a Website  - Building my ULTIMATE Portfolio Website,19-02-2021,6187,164,51,Feb
67,Why I Quit Data Science,12-02-2021,103450,2321,347,Feb
68,🌶 Hot Topics in Tech: Data Science Explained #SHORTS,29-01-2021,9349,442,114,Jan
69,How I Balance Data Science and Content Creation (7 Secrets),23-01-2021,6926,293,126,Jan
70,Kaggle Project From Scratch - Part 3 (Advanced Graphs & Gender Imbalance Analysis),16-01-2021,8834,284,52,Jan
71,Kaggle Project From Scratch - Part 2 (Exploratory Data Analysis),08-01-2021,20274,666,134,Jan
72,Kaggle Project From Scratch - Part 1 (Data Science Profession Survey),02-01-2021,33733,1077,147,Jan
73,What is the #66DaysOfData?,26-12-2020,66888,2253,208,Dec
74,How I Would Learn Data Science in 2021 (What Has Changed?),19-12-2020,130389,5960,501,Dec
75,Unboxing the Ultimate Z by HP Data Science Package (FIRST EVER HP Workstation w/ Data Science Stack),10-12-2020,10420,388,136,Dec
76,I Built the FIRST EVER YouTube Subscriber LEADERBOARD,07-12-2020,22873,714,328,Dec
77,7 Things to Look For in a Masters For Data Science (feat. @TinaHuang1),20-11-2020,25286,782,166,Nov
78,6 Lessons from #66DaysOfData,13-11-2020,6640,340,95,Nov
79,100K Channel Update + AMA Stream!,12-11-2020,2317,127,24,Nov
80,Find a Data Science Project With These 3 Techniques,06-11-2020,15669,677,104,Nov
81,How I Chose My Masters Degree for Breaking into Data Science,30-10-2020,24212,632,155,Oct
82,git for Data Science Made Simple... (Hopefully),23-10-2020,16935,795,92,Oct
83,The PODCAST you might have asked for?,19-10-2020,2058,94,44,Oct
84,Dealing with Doubt in Data Science (My Impostor Syndrome Story),16-10-2020,6596,444,113,Oct
85,Advice from a Data Analytics CEO (@How to Get an Analytics Job) - KNN EP. 17,14-10-2020,12832,378,48,Oct
86,Data Science Resume Round-Up With @Tina Huang  | Episode 3,12-10-2020,6225,137,62,Oct
87,5 Unusual Data Science Projects that Will Land You a Job,09-10-2020,9576,508,81,Oct
88,Sh*t Data Scientists Say (Parody),05-10-2020,9190,569,143,Oct
89,5 Proven Strategies to Break into a Data Science Job,02-10-2020,8515,366,93,Oct
90,Why Data-Viz is so Darn Important (@Story by Data | Kate Strachnyi) - KNN EP. 16,30-09-2020,6967,284,61,Sep
91,Data Science Resume Round-Up With @TinaHuang1  - Episode 1,28-09-2020,10927,283,69,Sep
92,5 Essential Data Science Projects for Your Portfolio,26-09-2020,68243,2972,208,Sep
93,His Startup Will Land You a Data Science Job (Jeremie Harris) - KNN EP. 15,23-09-2020,5081,193,66,Sep
94,Reviewing Your Data Science Projects - Episode 21(The Cleanest Portfolio),21-09-2020,10103,406,58,Sep
95,"Hedge Funds, Startups, and Data Science Oh my! (@DataLeap) - KNN EP. 14",18-09-2020,7248,247,34,Sep
96,Land a Data Science Job in a Different Country (Vijay Pravin Maharajan) - KNN EP. 13,16-09-2020,5042,193,56,Sep
97,Reviewing Your Data Science Projects - Episode 20 (Bootcamp Capstone),14-09-2020,4033,154,35,Sep
98,The 5 Pillars of Success I Live By,11-09-2020,10033,870,153,Sep
99,Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,09-09-2020,1872,78,25,Sep
100,Reviewing Your Data Science Projects - Episode 19 (One Big Improvement),07-09-2020,3916,157,43,Sep
101,How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,04-09-2020,11413,724,144,Sep
102,How She Dominated the FAANG Data Science Interview  (@TinaHuang1 ) - KNN EP. 11,02-09-2020,17629,565,89,Sep
103,Reviewing Your Data Science Projects - Episode 18 (Job-Worthy GitHub),31-08-2020,16849,774,93,Aug
104,Why I'm Starting Data Science Over Again.,29-08-2020,50472,2601,452,Aug
105,Inside the Mind of the Ultimate Kaggle Grandmaster (@Abhishek Thakur ) - KNN EP. 10,26-08-2020,14641,609,76,Aug
106,Reviewing Your Data Science Projects - Episode 17 (Best Portfolio Website Yet?),24-08-2020,12134,443,54,Aug
107,Don't Buy My Course..,21-08-2020,7301,356,148,Aug
108,How a Subscriber Landed a Data Analyst Job in Less Than a Year (Ray Ojel) - KNN EP. 09,19-08-2020,28520,1094,166,Aug
109,Reviewing Your Projects - Episode 16 (Project Review for Beginners),17-08-2020,3162,127,40,Aug
110,Data Scientist Dismantles the YouTube Algorithm.,14-08-2020,6185,535,110,Aug
111,Sports Analytics & Streaming Data Science on Twitch (Nick Wan) - KNN EP. 08,12-08-2020,4818,182,39,Aug
112,Reviewing Your Data Science Projects - Episode 15 (Quant Finance),10-08-2020,10235,338,53,Aug
113,The Plagiarism Problem in Data Science,07-08-2020,12978,629,150,Aug
114,Interview with the Director of AI Research @ NVIDIA (Anima Anandkumar) - KNN EP. 07,05-08-2020,14110,597,89,Aug
115,Reviewing Your Data Science Projects - Episode 14 [Deep Learning Focus],03-08-2020,4772,184,56,Aug
116,My First Data Science Contracting Side-Gig (How I Did It),31-07-2020,10845,569,90,Jul
117,Do You Have a Data Science Mentor? (@Danny Ma) - KNN EP. 06,30-07-2020,2285,115,34,Jul
118,Reviewing Your Data Science Projects - Episode 13 (BONUS LinkedIn Review),27-07-2020,5457,250,112,Jul
